id;title;course_id;section_id;student_id;exam_date;time_limit;score
74ca2377-979a-4c3e-a777-bc81fe0e182d;Small Global;enable Music;Internal transmitting;Tugrik synthesize emulation;2023-02-14;31162;35340
4c41f62d-5e27-4af4-a6e2-8a021f8a3fbc;Practical invoice Krona;Borders deposit;pixel Identity;Guadeloupe database;2023-02-15;83612;86148
b7068192-0d10-496a-8657-4a503a2859cd;copy;Tala service-desk USB;frictionless hack;next-generation;2023-02-14;80939;25099
42877ad3-51c7-4e3b-a358-c2385c42535a;online Granite Ghana;International Fresh microchip;Ergonomic;Rustic Pizza program;2023-02-15;45072;30117
1ce35b14-1b46-402d-b73e-fb3912e342d9;Personal optical Micronesia;Cordoba Grass-roots;Direct IB;Diverse context-sensitive Steel;2023-02-14;99441;26186
bca19dc5-c256-4620-8cf4-f981b85212ad;Belarus open-source;North Small;Wooden Baby;deposit bandwidth;2023-02-14;85887;57377
540dcb25-fc40-4645-a0fc-d5350df0e5f5;Unbranded state systemic;Functionality;Boliviano;Buckinghamshire Optimization;2023-02-14;59305;26112
4044f463-7287-44ea-b4af-ee7a2c86d382;Generic incubate;Grass-roots Product Auto;Fork;Marino program Communications;2023-02-14;42390;65207
8c260a42-b938-46a3-bd76-cc7aff2eccae;matrix;yellow Analyst indigo;Texas generating;Cambridgeshire;2023-02-14;19774;90028
def170f6-274c-41fa-bd08-6f59794aad2e;Hat solid;Handmade Cedi Developer;Utah;Awesome generating Venezuela;2023-02-14;52079;66395
