id;title;course_id;student_id;exam_date;time_limit;score
d14027bb-54dd-4b1a-b68c-9d8a2359c46a;Handcrafted;Credit neural-net;Planner;2023-02-14;7728;50324
a2f3b168-92b2-4183-beb4-ed40e34d461c;Ethiopia;transmitting hacking Analyst;synthesize;2023-02-14;564;76111
e05581c9-2084-4740-8e96-d521abdd4301;Small coherent;Director;niches;2023-02-14;13272;3071
8991584f-a536-4b02-9466-3033820a07f7;Applications Reactive;Organic;Expanded static;2023-02-14;67342;54516
3803eb49-b858-47dd-b1a7-6665d75b07a1;International Upgradable revolutionary;Director;PCI;2023-02-14;25092;79925
70a5648b-efcd-4d5f-b9a5-c850fcc92c7b;Plastic;Soft bypass;streamline primary;2023-02-14;45012;8561
b88cf7a5-ffd1-4361-a66f-6da329640adf;silver Concrete;client-driven;invoice;2023-02-14;91563;57071
7dfc3824-6a84-477d-bcb6-6123672da4ed;yellow logistical Paradigm;Central Central primary;Concrete withdrawal Architect;2023-02-14;70798;58033
937fe963-4e7e-48f8-8ab9-2c9a6da763ba;Small Keyboard;Pizza;clear-thinking task-force;2023-02-14;48091;2716
af230be4-d62c-4ba3-8c4d-f4115d34cbd6;Specialist Avon auxiliary;bypassing Baby cross-media;Agent Focused Haven;2023-02-14;813;2720
