id;text;question_id;correct;assessment_id;assignment_id;is_selected
cd582414-64ae-4c44-98c7-5dffb75abc62;EXE connect;back-end Incredible cutting-edge;false;Associate;transmitter bleeding-edge Dynamic;false
51d1e48f-3188-405b-a277-9c45fa9707ca;Loan RSS Plastic;white Tuna;true;pixel Dominican;disintermediate Developer online;false
22059204-28d4-4b5c-a8ad-0033f28c1a8b;Plastic calculating Global;Applications;false;Palau Account Rustic;withdrawal embrace Buckinghamshire;true
e8262604-0540-4817-a442-a50cc0bd02dd;copying withdrawal Michigan;brand Accounts incremental;false;Tuna index;copy bleeding-edge flexibility;false
ad7d3c9c-f53b-4ff9-8fc1-36bf9f55a724;Chicken strategize;productivity SSL;false;Peso fresh-thinking York;Cotton;true
3adcce95-b5c8-4284-8628-c003a571a243;capacitor Future web-readiness;Frozen;false;Refined;Concrete Buckinghamshire transparent;true
eb34cde7-f710-43e7-84d9-f7e35deabb7a;Metal Response Light;Directives Avon parse;true;system Tasty;Brazil content;false
1d9b6075-69c8-4ec5-a2f4-09ea781d0ee3;Summit Borders;Re-engineered Gloves;true;Generic;wireless deposit Somoni;true
2557798e-8f77-424d-958e-282d05a55f4c;product extend;communities;true;encoding;Vatu Loan initiatives;false
ab93f5bb-0048-42c1-87d0-d6ab5ff159a9;indigo functionalities;Drives haptic;false;sky Clothing;Tuna Salad turn-key;false
